"objectid","name","inc_crc","updated_at","geom_4326","geom_3414","x","y"
63784,ST ANNE'S WOOD PG,BBE2A86B412FCA38,"20250124001423",POINT (103.90373615 1.39164007),POINT (35836.55352159366 41506.12095704953),35836.5535,41506.12067206
63785,PK VILLAS TERRACE PG,"799B1379AF7B86FE","20250124001423",POINT (103.87996361 1.36899283),POINT (33191.02949469203 39001.83774865812),33191.02984948,39001.83749999
63793,JANGGUS GARDEN,"1F3DD1EC5E0E9581","20250124001423",POINT (103.836983849514 1.4575398277048155),POINT (28407.885000033075 48792.86760012592),28407.885,48792.86762347
63794,PEBBLE GARDEN,"930E38BDE1EF7481","20250124001423",POINT (103.82949312449735 1.4506449229190037),POINT (27574.288000034387 48030.463600116054),27574.28801996,48030.46359999
63795,SPRINGSIDE PK,A1B958A0B15ABD55,"20250124001423",POINT (103.82060743654343 1.4056718996982076),POINT (26585.425100033513 43057.576600046064),26585.42505,43057.57656617
63796,CASHEW RD PG,"1E1A89687763439E","20250124001423",POINT (103.76466780670854 1.3705998190999023),POINT (20360.001000036293 39179.5894999921),20360.001,39179.58947282
63797,CASHEW LINK PG,"95CAFC22DFC58B3A","20250124001423",POINT (103.76892501358684 1.3713588873704436),POINT (20833.77900003479 39263.5102999918),20833.779,39263.5103464
63798,CACTUS RD PG,"00177AF225584CC7","20250124001423",POINT (103.8522364751832 1.3901090514352157),POINT (30105.315000034698 41336.72020002201),30105.315,41336.72021843
63799,EAST COAST PARK AREA C,F82E79A64DA965B0,"20250124001423",POINT (103.9124608129566 1.3003516412775216),POINT (36807.8223000347 31411.934199882307),36807.8223041,31411.93424999
63800,EAST COAST PARK AREA E1 CAR PARK,CFA6A14454D77813,"20250124001423",POINT (103.93021604239304 1.3073206700418474),POINT (38783.792500034484 32182.6034998924),38783.79251195,32182.60354999
63801,THE FOOTHILLS FORT CANNING PK,"79D936350ADC3D5C","20250205023430",POINT (103.84569065641254 1.292257614494218),POINT (29376.90540003291 30516.803799869613),29376.90545,30516.80383273
63802,JLN SENDUDOK PARK,ECB76709E622AE18,"20250205023430",POINT (103.8271629642837 1.4438998767856779),POINT (27314.97630003415 47284.63080010464),27314.97635,47284.63079328
63803,PASIR PANJANG NURSERY,"94CD40DF5AA51F8B","20250205023430",POINT (103.79387132036359 1.2815897742709628),POINT (23609.842000034467 29337.23959985411),23609.84205,29337.23955703
63804,CAMBRIDGE PARK,"39073847C9B058FA","20250205023430",POINT (103.84683782337905 1.3136609018166698),POINT (29504.562500033273 32883.469799902115),29504.56245,32883.46981774
63805,SEMBAWANG PK,"0B5AAB3D0B87E215","20250205023430",POINT (103.83684542570357 1.461502967102204),POINT (28392.480000034575 49231.09170013323),28392.48005,49231.09170055
63806,BUKIT TIMAH NATURE RESERVE,A7291E7086B9FC70,"20250205023430",POINT (103.77909857931157 1.3540594774830914),POINT (21965.93050003341 37350.600799965854),21965.93055,37350.60083183
63807,LOWER PEIRCE RESERVOIR PARK,"546A3E0750A821F2","20250205023430",POINT (103.82649974971835 1.3692147195642959),POINT (27241.146700034365 39026.32379998869),27241.14665,39026.32378691
63808,SPRINGLEAF NATURE PARK,"5631CBB25F9D5C7D","20250205023430",POINT (103.82029893682231 1.4018864554547026),POINT (26551.091000035278 42639.001500039274),26551.0910397,42639.00155
