"station_name","town","num_blocks","min_dist_m"
LENTOR MRT STATION,AMK,87,278.55
LITTLE INDIA MRT STATION,CT,48,30.24
LITTLE INDIA MRT STATION,KWN,47,426.79
LORONG CHUAN MRT STATION,SGN,124,176.42
LORONG CHUAN MRT STATION,BH,43,799.27
MACPHERSON MRT STATION,GL,169,40.14
MACPHERSON MRT STATION,TP,1,1186.22
MARINE PARADE MRT STATION,MP,78,47.15
MARINE TERRACE MRT STATION,MP,78,39.43
MARSILING MRT STATION,WL,253,23.56
MARYMOUNT MRT STATION,BH,106,42.15
MARYMOUNT MRT STATION,TP,42,849.79
MATTAR MRT STATION,GL,137,145.86
MATTAR MRT STATION,TP,23,767.79
MAXWELL MRT STATION,CT,42,79.57
MAXWELL MRT STATION,BM,46,444.59
MAYFLOWER MRT STATION,AMK,236,44.91
MAYFLOWER MRT STATION,BH,15,848.51
MERIDIAN LRT STATION,PG,478,23.01
MERIDIAN LRT STATION,SK,205,406.86
MOUNTBATTEN MRT STATION,GL,69,33.66
MOUNTBATTEN MRT STATION,KWN,23,281.82
NEWTON MRT STATION,KWN,2,1143.56
NIBONG LRT STATION,PG,252,34.61
NICOLL HIGHWAY MRT STATION,KWN,42,353.89
NICOLL HIGHWAY MRT STATION,CT,25,890.36
NOVENA MRT STATION,KWN,43,535.50
NOVENA MRT STATION,TP,14,1007.01
OASIS LRT STATION,PG,460,37.47
OASIS LRT STATION,SK,10,1139.62
ONE-NORTH MRT STATION,QT,88,548.64
ORCHARD MRT STATION,BM,1,1197.22
OUTRAM PARK MRT STATION,BM,154,170.99
OUTRAM PARK MRT STATION,CT,42,199.42
PASIR RIS MRT STATION,PRC,281,52.68
PASIR RIS MRT STATION,TAP,57,868.17
PAYA LEBAR MRT STATION,GL,173,399.79
PENDING LRT STATION,BP,258,46.65
PETIR LRT STATION,BP,341,43.07
PETIR LRT STATION,CCK,20,885.22
PHOENIX LRT STATION,CCK,125,33.99
PHOENIX LRT STATION,BP,187,457.45
PIONEER MRT STATION,JW,416,24.97
POTONG PASIR MRT STATION,TP,138,76.17
POTONG PASIR MRT STATION,KWN,74,748.22
PROMENADE MRT STATION,CT,13,764.71
PROMENADE MRT STATION,KWN,12,1048.10
PUNGGOL LRT STATION,PG,436,101.24
PUNGGOL LRT STATION,SK,81,734.84
PUNGGOL MRT STATION,PG,438,209.57
PUNGGOL MRT STATION,SK,63,844.84
PUNGGOL POINT LRT STATION,PG,142,145.40
QUEENSTOWN MRT STATION,QT,154,58.96
QUEENSTOWN MRT STATION,BM,53,641.34
RAFFLES PLACE MRT STATION,CT,27,574.42
RANGGUNG LRT STATION,SK,404,37.28
RANGGUNG LRT STATION,HG,126,575.74
REDHILL MRT STATION,BM,160,74.01
REDHILL MRT STATION,QT,58,395.90
RENJONG LRT STATION,SK,405,47.69
RENJONG LRT STATION,HG,134,638.89
RIVIERA LRT STATION,PG,300,47.57
RIVIERA LRT STATION,SK,85,813.08
ROCHOR MRT STATION,CT,48,185.48
ROCHOR MRT STATION,KWN,50,754.26
RUMBIA LRT STATION,SK,357,41.99
RUMBIA LRT STATION,PG,236,349.98
SAM KEE LRT STATION,PG,376,83.33
SAMUDERA LRT STATION,PG,148,24.43
SEGAR LRT STATION,BP,327,50.85
SEMBAWANG MRT STATION,SB,302,74.87
SENGKANG MRT STATION,SK,590,86.51
SENGKANG MRT STATION,PG,81,897.76
SENJA LRT STATION,BP,336,35.18
SENJA LRT STATION,CCK,70,497.64
SERANGOON MRT STATION,SGN,138,22.93
SERANGOON MRT STATION,HG,17,568.06
SERANGOON MRT STATION,TP,57,683.64
SHENTON WAY MRT STATION,CT,30,759.35
SHENTON WAY MRT STATION,BM,8,1075.47
SIGLAP MRT STATION,BD,7,1068.25
SIMEI MRT STATION,TAP,181,68.64
SOO TECK LRT STATION,PG,303,45.27
SOO TECK LRT STATION,SK,74,688.64
SOUTH VIEW LRT STATION,CCK,394,44.13
STADIUM MRT STATION,KWN,29,730.80
STADIUM MRT STATION,GL,33,825.93
SUMANG LRT STATION,PG,320,37.27
SUMANG LRT STATION,SK,15,1061.45
TAI SENG MRT STATION,GL,81,344.98
TAI SENG MRT STATION,TP,33,696.26
